Serial Number,車位類別,車位價格,車位面積平方公尺,車位所在樓層
RPQNMLMKIIIGFAH47CC,坡道平面,3000,41.41,地下四樓
RPTNMLMKIIIGFAH77CC,坡道平面,3000,36.33,地下一樓
RPTNMLMKIIIGFBH87CC,坡道平面,2000,23.85,地下二樓
RPRNMLMKIIIGFBH67CC,坡道平面,3000,24.48,地下二樓
RPSOMLMKIIIGFBH87CC,坡道機械,2000,,地下一樓
RPTRMLMKIIIGFBH28CC,坡道平面,0,,地下三樓
RPPNMLMKIIIGFDH67CC,坡道平面,1000,27.31,地下二樓
RPQOMLMKIIIGFDH87CC,坡道平面,1000,,地下一樓
RPQNMLMKIIIGFEH87CC,坡道平面,2000,33.2,地下二樓
RPUNMLMKIIIGFGH48CC,坡道平面,2000,,地下一樓
RPWOMLNKIIIGFAH28CC,坡道平面,0,52.66,地下三樓
RPOQMLNKIIIGFAH67CC,坡道平面,3000,34.04,地下二樓
RPTPMLNKIIIGFAH08CC,坡道平面,3000,25.32,地下二樓
RPWOMLNKIIIGFBH38CC,坡道平面,2200,40.11,地下四樓
RPOQMLNKIIIGFBH77CC,坡道平面,1500,36.76,地下四樓
RPVQMLNKIIIGFBH48CC,坡道機械,0,17.11,地下三樓
RPQRMLNKIIIGFBH08CC,坡道機械,0,17.11,地下三樓
RPRSMLNKIIIGFBH28CC,坡道平面,2300,,地下一樓
RPRRMLNKIIIGFBH18CC,坡道機械,0,17.11,地下三樓
RPSSMLNKIIIGFBH38CC,坡道平面,0,37.38,地下二樓
RPSSMLNKIIIGFBH38CC,坡道平面,0,37.38,地下二樓
RPTNMLOKIIIGFBH08CC,坡道平面,0,27.86,地下二樓
RPPOMLOKIIIGFBH77CC,坡道平面,0,,地下一樓
RPPNMLOKIIIGFHH28CC,坡道平面,0,14.56,地下四樓
RPQNMLOKIIIGFHH38CC,坡道平面,0,14.56,地下四樓
RPPNMLPKIIIGFEH08CC,坡道平面,0,49.69,地下二樓
RPQOMLQKIIIGFAH97CC,坡道平面,2500,32.44,地下一樓
RPUNMLQKIIIGFBH38CC,坡道平面,0,31.39,地下一樓
RPRQMLQKIIIGFBH38CC,坡道平面,3000,35.13,地下一樓
RPWPMLQKIIIGFBH78CC,坡道平面,0,33.65,地下三樓
RPVNMLQKIIIGFDH68CC,坡道平面,2400,,地下一樓
RPPOMLQKIIIGFDH18CC,坡道平面,2500,30.98,地下一樓
RPXNMLRKIIIGFAH68CC,坡道平面,2500,,地下一樓
RPUPMLRKIIIGFAH58CC,坡道平面,2500,,地下一樓
RPPPMLRKIIIGFAH08CC,坡道平面,0,,地下二樓
RPROMLRKIIIGFBH28CC,坡道平面,0,35.03,地下二樓
RPPNMLRKIIIGFCH08CC,坡道平面,2500,30.2,地下二樓
RPQQMLRKIIIGFBH38CC,坡道平面,3000,40.11,地下一樓
RPRNMLRKIIIGFCH28CC,坡道平面,1000,,地下二樓
RPROMLRKIIIGFCH38CC,坡道平面,1500,,地下一樓
RPPNMLRKIIIGFDH18CC,坡道平面,1500,,地下二樓
RPRPMLRKIIIGFEH68CC,坡道平面,0,28.29,地下三樓
RPPOMLRKIIIGFHH68CC,坡道平面,3000,28.29,地下二樓
RPWOMLSKIIIGFAH78CC,坡道平面,0,34.45,地下三樓
RPUOMLSKIIIGFBH68CC,坡道平面,3000,36.15,地下三樓
RPQNMLSKIIIGFDH38CC,坡道平面,0,,地下一樓
RPSNMLTKIIIGFAH38CC,坡道平面,3000,,地下二樓
RPXOMLTKIIIGFAH98CC,坡道平面,0,,地下一樓
RPUOMLTKIIIGFAH68CC,坡道平面,2000,40.71,地下二樓
RPWNMLTKIIIGFBH88CC,坡道平面,0,,地下二樓
RPSPMLTKIIIGFAH58CC,坡道平面,2500,37.3,地下一樓
RPOPMLTKIIIGFEH58CC,坡道平面,3000,28.3,地下三樓
RPXNMLKLIIIGFAH08CC,坡道平面,1500,,地下二樓
RPVOMLTKIIIGFGH76CC,坡道平面,2500,33.69,地下一樓
RPWOMLKLIIIGFAH08CC,坡道平面,3000,30.37,地下二樓
RPXNMLKLIIIGFBH18CC,坡道平面,2000,23.32,地下三樓
RPOOMLKLIIIGFDH57CC,坡道平面,1000,37.04,地下一樓
RPPOMLKLIIIGFDH67CC,坡道平面,1500,,地下一樓
RPQNMLKLIIIGFHH08CC,坡道平面,2500,,地下二樓
RPQNMLKLIIIGFGH97CC,坡道平面,3500,34.41,地下二樓
RPPNMLMLIIIGFGH08CC,坡道平面,0,,地下一樓
RPRPMLNLIIIGFAH97CC,坡道平面,2000,37.3,地下三樓
RPUPMLNLIIIGFAH28CC,坡道平面,2000,,地下一樓
RPXPMLNLIIIGFAH58CC,坡道平面,2500,36.5,地下一樓
RPRQMLNLIIIGFAH08CC,坡道平面,2500,34.23,地下三樓
RPWQMLNLIIIGFAH58CC,坡道平面,3000,,地下一樓
RPVRMLNLIIIGFAH58CC,坡道平面,3000,,地下一樓
RPVNMLNLIIIGFEH58CC,坡道平面,3000,35.76,地下三樓
RPVOMLOLIIIGFAH38CC,坡道平面,3000,42.95,地下一樓
RPSNMLOLIIIGFDH28CC,坡道平面,1500,,地下二樓
RPOPMLQLIIIGFAH97CC,坡道平面,2500,27.48,地下一樓
RPQOMLQLIIIGFBH18CC,坡道平面,0,,地下二樓
RPQOMLQLIIIGFBH18CC,坡道平面,0,,地下二樓
RPUPMLQLIIIGFBH68CC,坡道平面,0,,地下二樓
RPOQMLQLIIIGFBH18CC,坡道平面,0,,地下三樓
RPSQMLQLIIIGFBH58CC,坡道平面,0,,地下二樓
RPPNMLQLIIIGFCH08CC,一樓平面,0,244.6,一樓
RPRNMLRLIIIGFCH38CC,坡道平面,1500,,地下一樓
RPTNMLRLIIIGFFH88CC,坡道平面,3000,45.74,地下一樓
RPSOMLKMIIIGFAH77CC,坡道平面,3500,25.6,地下四樓
RPOOMLLJJIIGFAH27CC,坡道平面,0,27.64,地下二樓
RPPNMLPLRHIGFAI78DC,坡道平面,0,,地下一樓
RPVNMLPLRHIGFAI66CC,坡道平面,0,,地下一樓
RPPNMLRLRHIGFAI88CC,坡道平面,0,,地下一樓
RPWNMLLKIIIGFAI08CC,一樓平面,0,,一樓
RPOOMLLKIIIGFAI37CC,坡道平面,0,,地下一樓
RPQNMLNLRHIGFBJ78CC,坡道平面,0,,地下一樓
RPPNMLQLRHIGFBJ98CC,坡道平面,0,33.53,地下二樓
RPQNMLSLRHIGFBJ66CC,坡道平面,0,,地下一樓
RPQNMLSLRHIGFBJ66CC,坡道平面,0,,地下一樓
RPQNMLSLRHIGFBJ66CC,坡道平面,0,,地下一樓
RPQNMLLKIIIGFBJ67CC,坡道平面,0,,地下一樓
RPUNMLLKIIIGFBJ08CC,坡道平面,0,,地下二樓
RPUNMLLKIIIGFBJ08CC,坡道平面,0,,地下二樓
RPUNMLLKIIIGFBJ08CC,坡道平面,0,,地下二樓
RPUNMLLKIIIGFBJ08CC,坡道平面,0,,地下二樓
RPUNMLLKIIIGFBJ08CC,坡道平面,0,,地下二樓
RPRPMLSKIIIGFBJ68CC,坡道平面,0,,地下一樓
RPPNMLKMIIIGFBJ67CC,坡道機械,0,,地下二樓
RPSNMLRLIIIGFBJ58CC,坡道平面,0,,地下二樓
RPVNMLRLIIIGFBJ88CC,坡道平面,0,,地下一樓
RPVNMLRLIIIGFBJ88CC,坡道平面,0,,地下一樓
RPTNMLRLIIIGFBJ68CC,坡道平面,0,,地下一樓
RPTNMLRLIIIGFBJ68CC,坡道平面,0,,地下一樓
RPTNMLRLIIIGFBJ68CC,坡道平面,0,,地下一樓
RPTNMLRLIIIGFBJ68CC,坡道平面,0,,地下一樓
RPTNMLRLIIIGFBJ68CC,坡道平面,0,,地下二樓
RPTNMLRLIIIGFBJ68CC,坡道平面,0,,地下二樓
RPTNMLRLIIIGFBJ68CC,坡道平面,0,,地下二樓
RPTNMLMLRHIGFAO76CC,坡道平面,0,30.16,地下二樓
RPQNMLNLRHIGFAO56CC,升降機械,1500,13.2,地下二樓
RPRNMLSLRHIGFAO17CC,坡道平面,0,,地下一樓
RPPNMLPKIIIGFAO38CC,坡道機械,0,20.87,地下三樓
RPPNMLOKIIIGFAO28CC,坡道平面,0,28.88,地下五樓含以下
RPPNMLTKIIIGFDQ66CC,坡道平面,0,29.88,地下一樓
RPPNMLSLRHIGFDQ47CC,坡道平面,0,29.88,地下二樓
RPPNMLQLRHIGFAT37DC,坡道機械,0,,地下一樓
